#POSX	POSY	POSZ
68.373	73.951	0.085
65.024	64.408	-0.163
75.004	60.716	0.387
63.474	46.162	-0.086
84.453	41.357	0.254
71.208	35.698	-0.006
91.764	34.662	0.245
71.631	30.328	-0.127
70.375	23.012	-0.260
61.346	20.829	-0.262
81.172	18.173	-0.196
80.350	11.649	-0.250
72.417	4.951	-0.401
60.545	4.759	-0.137
95.907	-0.693	-0.091
89.362	-1.077	-0.376
73.792	-7.228	-0.368
91.846	-8.420	-0.301
65.282	-15.421	-0.343
77.816	-17.474	-0.252
101.184	-21.737	0.386
67.104	-23.734	-0.377
85.665	-28.143	-0.053
62.030	-29.334	-0.424
92.429	-33.207	0.067
69.158	-35.947	-0.501
81.139	-36.183	-0.104
63.250	-44.621	-0.454
96.988	-50.699	-0.480
80.088	-53.229	-0.547
63.880	-55.876	-0.436
66.216	-70.036	-0.083
44.939	91.736	0.002
57.603	72.650	-0.310
44.569	65.723	-0.239
35.888	64.372	-0.141
44.340	56.264	-0.184
56.230	56.189	-0.474
36.126	55.466	-0.133
47.789	50.441	-0.218
35.091	40.400	-0.012
52.366	37.997	-0.209
43.036	25.108	0.043
53.551	20.076	-0.121
41.761	15.216	-0.060
56.244	12.207	-0.189
41.134	6.842	-0.112
36.748	-2.306	-0.292
43.569	-5.823	-0.312
48.078	-8.122	-0.293
37.767	-11.174	-0.205
45.267	-12.412	-0.311
45.048	-18.996	-0.223
43.420	-27.055	-0.213
47.569	-35.009	-0.312
37.836	-35.118	-0.387
43.074	-43.626	-0.535
52.843	-49.222	-0.595
42.459	-56.927	-0.539
50.382	-62.277	-0.470
35.815	-65.443	-0.395
55.311	-73.539	-0.407
40.383	-89.270	-0.302
45.363	-89.770	-0.312
29.148	98.423	0.065
32.173	88.782	-0.117
24.595	82.854	-0.170
30.711	76.268	-0.201
27.806	66.323	-0.088
17.189	53.781	-0.210
26.925	34.267	0.004
17.199	30.635	-0.397
30.956	28.851	-0.054
33.499	19.541	-0.070
21.619	17.799	-0.224
20.174	9.304	-0.093
30.493	8.861	-0.220
25.179	5.765	0.060
17.769	2.348	0.195
31.433	-5.736	-0.133
20.905	-9.040	0.215
24.025	-16.847	0.145
30.590	-19.101	0.042
33.884	-22.936	-0.036
23.413	-30.390	-0.120
31.849	-33.484	-0.229
18.360	-38.135	-0.440
28.095	-44.507	-0.629
16.845	-52.974	-0.398
24.453	-60.942	-0.300
23.499	-68.096	-0.202
29.302	-75.169	-0.145
30.308	-83.830	-0.163
16.611	-84.441	-0.186
26.042	-93.474	-0.320
18.343	-96.970	-0.252
11.427	100.735	0.005
11.389	77.132	0.231
